REGION_NO,ADM2_EN,ADM3_EN,ADM3_CODE,TOTAL_EMPLOYED,AGRI_EMPLOYED,PERCENT_AGRI
6,ANTIQUE,Caluya,PH060605000,7.0,1.0,14.29
6,ANTIQUE,Culasi,PH060606000,569.0,207.0,36.38
6,ANTIQUE,Tobias Fornier,PH060607000,427.0,182.0,42.62
6,ANTIQUE,Hamtic,PH060608000,536.0,201.0,37.5
6,ANTIQUE,Laua-An,PH060609000,340.0,167.0,49.12
6,ANTIQUE,Libertad,PH060610000,195.0,103.0,52.82
6,ANTIQUE,Pandan,PH060611000,410.0,156.0,38.05
6,ANTIQUE,Patnongon,PH060612000,376.0,187.0,49.73
6,ANTIQUE,San Jose,PH060613000,965.0,144.0,14.92
6,ANTIQUE,San Remigio,PH060614000,330.0,171.0,51.82
6,ANTIQUE,Sebaste,PH060615000,241.0,103.0,42.74
6,ANTIQUE,Sibalom,PH060616000,662.0,297.0,44.86
6,ANTIQUE,Tibiao,PH060617000,200.0,87.0,43.5
6,ANTIQUE,Valderrama,PH060618000,230.0,120.0,52.17
15,BASILAN,City of Lamitan,PH150702000,1349.0,487.0,36.1
15,BASILAN,Lantawan,PH150703000,672.0,420.0,62.5
15,BASILAN,Maluso,PH150704000,818.0,328.0,40.1
15,BASILAN,Sumisip,PH150705000,942.0,691.0,73.35
15,BASILAN,Tipo-Tipo,PH150706000,364.0,234.0,64.29
15,BASILAN,Tuburan,PH150707000,292.0,200.0,68.49
15,BASILAN,Akbar,PH150708000,113.0,78.0,69.03
15,BASILAN,Al-Barka,PH150709000,295.0,205.0,69.49
15,BASILAN,Hadji Mohammad Ajul,PH150710000,193.0,164.0,84.97
15,BASILAN,Ungkaya Pukan,PH150711000,269.0,227.0,84.39
15,BASILAN,Hadji Muhtamad,PH150712000,224.0,153.0,68.3
15,BASILAN,Tabuan-Lasa,PH150713000,280.0,249.0,88.93
3,BATAAN,Abucay,PH030801000,151.0,19.0,12.58
3,BATAAN,Bagac,PH030802000,268.0,53.0,19.78
3,BATAAN,City of Balanga,PH030803000,902.0,38.0,4.21
3,BATAAN,Dinalupihan,PH030804000,607.0,53.0,8.73
3,BATAAN,Hermosa,PH030805000,546.0,46.0,8.42
3,BATAAN,Limay,PH030806000,509.0,55.0,10.81
3,BATAAN,Mariveles,PH030807000,1161.0,68.0,5.86
3,BATAAN,Morong,PH030808000,342.0,45.0,13.16
3,BATAAN,Orani,PH030809000,391.0,25.0,6.39
3,BATAAN,Orion,PH030810000,238.0,37.0,15.55
3,BATAAN,Pilar,PH030811000,263.0,28.0,10.65
3,BATAAN,Samal,PH030812000,182.0,23.0,12.64
2,BATANES,Basco,PH020901000,1684.0,244.0,14.49
2,BATANES,Itbayat,PH020902000,456.0,137.0,30.04
2,BATANES,Ivana,PH020903000,218.0,43.0,19.72
2,BATANES,Mahatao,PH020904000,239.0,54.0,22.59
2,BATANES,Sabtang,PH020905000,332.0,102.0,30.72
2,BATANES,Uyugan,PH020906000,218.0,44.0,20.18
4,BATANGAS,Agoncillo,PH041001000,58.0,27.0,46.55
4,BATANGAS,Alitagtag,PH041002000,22.0,3.0,13.64
4,BATANGAS,Balayan,PH041003000,246.0,35.0,14.23
4,BATANGAS,Balete,PH041004000,72.0,21.0,29.17
4,BATANGAS,Batangas City,PH041005000,909.0,56.0,6.16
4,BATANGAS,Bauan,PH041006000,242.0,7.0,2.89
4,BATANGAS,City of Calaca,PH041007000,110.0,16.0,14.55
4,BATANGAS,Calatagan,PH041008000,182.0,41.0,22.53
4,BATANGAS,Cuenca,PH041009000,61.0,5.0,8.2
4,BATANGAS,Ibaan,PH041010000,90.0,10.0,11.11
4,BATANGAS,Laurel,PH041011000,77.0,17.0,22.08
4,BATANGAS,Lemery,PH041012000,344.0,64.0,18.6
4,BATANGAS,Lian,PH041013000,187.0,48.0,25.67
4,BATANGAS,City of Lipa,PH041014000,1400.0,57.0,4.07
4,BATANGAS,Lobo,PH041015000,30.0,13.0,43.33
4,BATANGAS,Mabini,PH041016000,44.0,3.0,6.82
4,BATANGAS,Malvar,PH041017000,178.0,4.0,2.25
4,BATANGAS,Mataasnakahoy,PH041018000,36.0,4.0,11.11
4,BATANGAS,Nasugbu,PH041019000,348.0,41.0,11.78
4,BATANGAS,Padre Garcia,PH041020000,130.0,22.0,16.92
4,BATANGAS,Rosario,PH041021000,242.0,45.0,18.6
4,BATANGAS,San Jose,PH041022000,162.0,12.0,7.41
4,BATANGAS,San Juan,PH041023000,320.0,81.0,25.31
4,BATANGAS,San Luis,PH041024000,51.0,16.0,31.37
4,BATANGAS,San Nicolas,PH041025000,64.0,21.0,32.81
4,BATANGAS,San Pascual,PH041026000,90.0,5.0,5.56
4,BATANGAS,Santa Teresita,PH041027000,23.0,7.0,30.43
4,BATANGAS,City of Sto. Tomas,PH041028000,532.0,11.0,2.07
4,BATANGAS,Taal,PH041029000,136.0,19.0,13.97
5,BATANGAS,Talisay,PH041030000,21.0,4.0,19.05
4,BATANGAS,City of Tanauan,PH041031000,257.0,23.0,8.95
4,BATANGAS,Taysan,PH041032000,9.0,0.0,0.0
4,BATANGAS,Tuy,PH041034000,90.0,24.0,26.67
14,BENGUET,Atok,PH141101000,419.0,321.0,76.61
14,BENGUET,City of Baguio,PH141102000,5686.0,66.0,1.16
14,BENGUET,Bakun,PH141103000,126.0,101.0,80.16
14,BENGUET,Bokod,PH141104000,101.0,42.0,41.58
14,BENGUET,Buguias,PH141105000,952.0,771.0,80.99
14,BENGUET,Itogon,PH141106000,610.0,77.0,12.62
14,BENGUET,Kabayan,PH141107000,320.0,236.0,73.75
14,BENGUET,Kapangan,PH141108000,168.0,112.0,66.67
14,BENGUET,Kibungan,PH141109000,225.0,196.0,87.11
14,BENGUET,La Trinidad,PH141110000,1500.0,278.0,18.53
14,BENGUET,Mankayan,PH141111000,470.0,167.0,35.53
14,BENGUET,Sablan,PH141112000,130.0,73.0,56.15
14,BENGUET,Tuba,PH141113000,526.0,177.0,33.65
14,BENGUET,Tublay,PH141114000,283.0,179.0,63.25
7,BOHOL,Alburquerque,PH071201000,28.0,2.0,7.14
7,BOHOL,Alicia,PH071202000,92.0,49.0,53.26
7,BOHOL,Anda,PH071203000,24.0,6.0,25.0
7,BOHOL,Antequera,PH071204000,90.0,16.0,17.78
7,BOHOL,Baclayon,PH071205000,51.0,2.0,3.92
7,BOHOL,Balilihan,PH071206000,79.0,39.0,49.37
7,BOHOL,Batuan,PH071207000,62.0,11.0,17.74
7,BOHOL,Bilar,PH071208000,49.0,22.0,44.9
7,BOHOL,Buenavista,PH071209000,52.0,18.0,34.62
7,BOHOL,Calape,PH071210000,87.0,33.0,37.93
7,BOHOL,Candijay,PH071211000,133.0,57.0,42.86
7,BOHOL,Carmen,PH071212000,340.0,182.0,53.53
7,BOHOL,Catigbian,PH071213000,5.0,1.0,20.0
7,BOHOL,Clarin,PH071214000,84.0,28.0,33.33
7,BOHOL,Corella,PH071215000,86.0,24.0,27.91
7,BOHOL,Cortes,PH071216000,74.0,10.0,13.51
7,BOHOL,Dagohoy,PH071217000,24.0,11.0,45.83
7,BOHOL,Danao,PH071218000,100.0,36.0,36.0
7,BOHOL,Dauis,PH071219000,151.0,21.0,13.91
7,BOHOL,Dimiao,PH071220000,68.0,27.0,39.71
7,BOHOL,Duero,PH071221000,65.0,14.0,21.54
7,BOHOL,Garcia Hernandez,PH071222000,232.0,108.0,46.55
7,BOHOL,Guindulman,PH071223000,114.0,38.0,33.33
7,BOHOL,Inabanga,PH071224000,330.0,116.0,35.15
7,BOHOL,Jagna,PH071225000,120.0,55.0,45.83
7,BOHOL,Getafe,PH071226000,122.0,50.0,40.98
7,BOHOL,Lila,PH071227000,134.0,37.0,27.61
7,BOHOL,Loay,PH071228000,62.0,8.0,12.9
7,BOHOL,Loboc,PH071229000,71.0,8.0,11.27
7,BOHOL,Loon,PH071230000,150.0,20.0,13.33
7,BOHOL,Mabini,PH071231000,178.0,74.0,41.57
7,BOHOL,Maribojoc,PH071232000,75.0,9.0,12.0
7,BOHOL,Panglao,PH071233000,123.0,15.0,12.2
7,BOHOL,Pilar,PH071234000,75.0,35.0,46.67
7,BOHOL,President Carlos P. Garcia,PH071235000,115.0,36.0,31.3
7,BOHOL,Sagbayan,PH071236000,245.0,90.0,36.73
7,BOHOL,San Isidro,PH071237000,36.0,21.0,58.33
7,BOHOL,San Miguel,PH071238000,126.0,73.0,57.94
7,BOHOL,Sevilla,PH071239000,55.0,10.0,18.18
7,BOHOL,Sierra Bullones,PH071240000,133.0,62.0,46.62
7,BOHOL,Sikatuna,PH071241000,41.0,29.0,70.73
7,BOHOL,City of Tagbilaran,PH071242000,787.0,22.0,2.8
7,BOHOL,Talibon,PH071243000,234.0,95.0,40.6
7,BOHOL,Trinidad,PH071244000,145.0,53.0,36.55
7,BOHOL,Tubigon,PH071245000,220.0,55.0,25.0
7,BOHOL,Ubay,PH071246000,367.0,105.0,28.61
7,BOHOL,Valencia,PH071247000,80.0,34.0,42.5
